Element Name,Windows NT,Windows,Component,Component Version,Declaration Header,Include Header,Library,GUID,GUID Macro,Unicode,Element Type
UnlockServiceDatabase,Windows NT 3.1 or later,,Base/dllproc,,Winsvc.h,Windows.h,Advapi32.lib,,,,function
UnregisterWait,Windows 2000 or later,Unsupported,Base/dllproc,,Winbase.h,Windows.h,Kernel32.lib,,,,function
UnregisterWaitEx,Windows 2000 or later,Unsupported,Base/dllproc,,Winbase.h,Windows.h,Kernel32.lib,,,,function
UserHandleGrantAccess,Windows 2000 or later,Unsupported,Base/dllproc,,Winuser.h,Windows.h,User32.lib,,,,function
WaitForInputIdle,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winuser.h,Windows.h,User32.lib,,,,function
WaitForMultipleObjects,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winbase.h,Windows.h,Kernel32.lib,,,,function
WaitForMultipleObjectsEx,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winbase.h,Windows.h,Kernel32.lib,,,,function
WaitForSingleObject,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winbase.h,Windows.h,Kernel32.lib,,,,function
WaitForSingleObjectEx,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winbase.h,Windows.h,Kernel32.lib,,,,function
WinExec,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winbase.h,Windows.h,Kernel32.lib,,,,function
GetCurrentFiber,Windows NT 3.51 SP3 or later,Windows 98 or later,Base/dllproc,,Winnt.h,Windows.h,,,,,macro
GetFiberData,Windows NT 3.51 SP3 or later,Windows 98 or later,Base/dllproc,,Winnt.h,Windows.h,,,,,macro
HasOverlappedIoCompleted,Windows NT 4.0 or later,Windows 98 or later,Base/dllproc,,Winbase.h,Windows.h,,,,,macro
ENUM_SERVICE_STATUS,Windows NT 3.1 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,Declared as Unicode and ANSI structures.,structure
ENUM_SERVICE_STATUS_PROCESS,Windows 2000 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,Declared as Unicode and ANSI structures.,structure
IO_COUNTERS,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_ASSOCIATE_COMPLETION_PORT,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_BASIC_ACCOUNTING_INFORMATION,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_BASIC_AND_IO_ACCOUNTING_INFORMATION,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_BASIC_LIMIT_INFORMATION,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_BASIC_PROCESS_ID_LIST,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_BASIC_UI_RESTRICTIONS,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_END_OF_JOB_TIME_INFORMATION,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_EXTENDED_LIMIT_INFORMATION,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
JOBOBJECT_SECURITY_LIMIT_INFORMATION,Windows 2000 or later,Unsupported,Base/dllproc,,Winnt.h,Windows.h,,,,,structure
OVERLAPPED,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winbase.h,Windows.h,,,,,structure
PROCESS_INFORMATION,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winbase.h,Windows.h,,,,,structure
QUERY_SERVICE_CONFIG,Windows NT 3.1 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,Declared as Unicode and ANSI structures.,structure
QUERY_SERVICE_LOCK_STATUS,Windows NT 3.1 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,Declared as Unicode and ANSI structures.,structure
SC_ACTION,Windows 2000 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,,structure
SERVICE_DESCRIPTION,Windows 2000 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,Declared as Unicode and ANSI structures.,structure
SERVICE_FAILURE_ACTIONS,Windows 2000 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,Declared as Unicode and ANSI structures.,structure
SERVICE_STATUS,Windows NT 3.1 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,,structure
SERVICE_STATUS_PROCESS,Windows 2000 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,,structure
SERVICE_TABLE_ENTRY,Windows NT 3.1 or later,,Base/dllproc,,Winsvc.h,Windows.h,,,,Declared as Unicode and ANSI structures.,structure
STARTUPINFO,Windows NT 3.1 or later,Windows 95 or later,Base/dllproc,,Winbase.h,Windows.h,,,,Declared as Unicode and ANSI structures.,structure
FSCTL_ALLOW_EXTENDED_DASD_IO,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_CREATE_OR_GET_OBJECT_ID,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_CREATE_USN_JOURNAL,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_DELETE_OBJECT_ID,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_DELETE_REPARSE_POINT,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_DELETE_USN_JOURNAL,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_DISMOUNT_VOLUME,Windows NT 3.5 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_ENUM_USN_DATA,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_GET_COMPRESSION,Windows NT 3.51 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_GET_HFS_INFORMATION,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_GET_OBJECT_ID,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_GET_REPARSE_POINT,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_GET_RETRIEVAL_POINTERS,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_GET_VOLUME_BITMAP,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_LOCK_VOLUME,Windows NT 3.5 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_MARK_HANDLE,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_MOVE_FILE,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_OPBATCH_ACK_CLOSE_PENDING,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_OPLOCK_BREAK_ACK_NO_2,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_OPLOCK_BREAK_ACKNOWLEDGE,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_OPLOCK_BREAK_NOTIFY,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_QUERY_ALLOCATED_RANGES,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_QUERY_FAT_BPB,Windows NT 3.5 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_QUERY_FAT_BPB_BUFFER,Windows NT 3.5 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_QUERY_USN_JOURNAL,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_READ_FROM_PLEX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_READ_USN_JOURNAL,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_RECALL_FILE,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_REQUEST_BATCH_OPLOCK,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_REQUEST_FILTER_OPLOCK,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_REQUEST_OPLOCK_LEVEL_1,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_REQUEST_OPLOCK_LEVEL_2,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_SET_COMPRESSION,Windows NT 3.51 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_SET_OBJECT_ID,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_SET_OBJECT_ID_EXTENDED,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_SET_REPARSE_POINT,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_SET_SPARSE,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_SET_ZERO_DATA,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_UNLOCK_VOLUME,Windows NT 3.5 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
FSCTL_WRITE_USN_CLOSE_RECORD,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_BATTERY_QUERY_INFORMATION,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,control code
IOCTL_BATTERY_QUERY_STATUS,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,control code
IOCTL_BATTERY_QUERY_TAG,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,control code
IOCTL_BATTERY_SET_INFORMATION,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,control code
IOCTL_CHANGER_EXCHANGE_MEDIUM,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_GET_ELEMENT_STATUS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_GET_PARAMETERS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_GET_PRODUCT_DATA,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_GET_STATUS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_INITIALIZE_ELEMENT_STATUS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_MOVE_MEDIUM,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_QUERY_VOLUME_TAGS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_REINITIALIZE_TRANSPORT,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_SET_ACCESS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_CHANGER_SET_POSITION,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_CREATE_DISK,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_FORMAT_TRACKS,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_GET_DRIVE_GEOMETRY,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_GET_DRIVE_GEOMETRY_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_GET_DRIVE_LAYOUT,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_GET_DRIVE_LAYOUT_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_GET_LENGTH_INFO,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_GET_PARTITION_INFO,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_GET_PARTITION_INFO_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_PERFORMANCE,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_REASSIGN_BLOCKS,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_SET_DRIVE_LAYOUT,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_SET_DRIVE_LAYOUT_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_SET_PARTITION_INFO,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_SET_PARTITION_INFO_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_DISK_VERIFY,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_SERIAL_LSRMST_INSERT,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_STORAGE_CHECK_VERIFY,Windows NT 4.0 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_STORAGE_EJECT_MEDIA,Windows NT 4.0 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_STORAGE_GET_MEDIA_TYPES,Windows NT 4.0 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_STORAGE_LOAD_MEDIA,Windows NT 4.0 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_STORAGE_MEDIA_REMOVAL,Windows NT 4.0 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_VOLUME_GET_VOLUME_DISK_EXTENTS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
IOCTL_VOLUME_IS_CLUSTERED,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,control code
DBT_CONFIGCHANGECANCELED,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_CONFIGCHANGED,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_CUSTOMEVENT,Windows 2000 or later,Unsupported,Base/hardware,,Dbt.h,,,,,,device event
DBT_DEVICEARRIVAL,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_DEVICEQUERYREMOVE,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_DEVICEQUERYREMOVEFAILED,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_DEVICEREMOVECOMPLETE,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_DEVICEREMOVEPENDING,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_DEVICETYPESPECIFIC,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_DEVNODES_CHANGED,Windows 2000 or later,Unsupported,Base/hardware,,Dbt.h,,,,,,device event
DBT_QUERYCHANGECONFIG,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
DBT_USERDEFINED,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,device event
ELEMENT_TYPE,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,enumeration
MEDIA_TYPE,Windows NT 4.0 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,enumeration
PARTITION_STYLE,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,enumeration
DeviceIoControl,Windows NT 3.1 or later,Windows 95 or later,Base/hardware,,Winbase.h,Windows.h,Kernel32.lib,,,,function
GetDevicePowerState,Windows 2000 or later,Windows 98 or later,Base/hardware,,Winbase.h,Windows.h,Kernel32.lib,,,,function
GetSystemPowerStatus,Windows 2000 or later,Windows 95 or later,Base/hardware,,Winbase.h,Windows.h,Kernel32.lib,,,,function
IsSystemResumeAutomatic,Windows 2000 or later,Windows 98 or later,Base/hardware,,Winbase.h,Windows.h,Kernel32.lib,,,,function
RegisterDeviceNotification,Windows 2000 or later,Windows 98 or later,Base/hardware,,Winuser.h,Windows.h,User32.lib,,,Implemented as Unicode and ANSI versions on Windows 2000.,function
RequestWakeupLatency,Windows 2000 or later,Windows 98 or later,Base/hardware,,Winbase.h,Windows.h,Kernel32.lib,,,,function
SetSystemPowerState,Windows 2000 or later,Windows 95 or later,Base/hardware,,Winbase.h,Windows.h,Kernel32.lib,,,,function
SetThreadExecutionState,Windows 2000 or later,Windows 98 or later,Base/hardware,,Winbase.h,Windows.h,Kernel32.lib,,,,function
SetupDiCreateDeviceInfoList,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiCreateDeviceInfoListEx,Windows 2000 or later,Unsupported,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiCreateDeviceInterfaceRegKey,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiDeleteDeviceInterfaceData,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiDeleteDeviceInterfaceRegKey,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiDestroyDeviceInfoList,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiEnumDeviceInterfaces,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiGetClassDevs,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiGetClassDevsEx,Windows 2000 or later,Unsupported,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiGetDeviceInterfaceAlias,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiGetDeviceInterfaceDetail,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiOpenClassRegKeyEx,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiOpenDeviceInterface,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
SetupDiOpenDeviceInterfaceRegKey,Windows 2000 or later,Windows 98 or later,Base/hardware,,Setupapi.h,,Setupapi.lib,,,,function
UnregisterDeviceNotification,Windows 2000 or later,Windows 98 or later,Base/hardware,,Winuser.h,Windows.h,User32.lib,,,,function
WM_DEVICECHANGE,Windows NT 4.0 or later,Windows 95 or later,Base/hardware,,Winuser.h,Windows.h,,,,,message
WM_POWER,Windows NT 3.1 or later,Windows 95 or later,Base/hardware,,Winuser.h,Windows.h,,,,,message
WM_POWERBROADCAST,Windows NT 4.0 or later,Windows 95 or later,Base/hardware,,Winuser.h,Windows.h,,,,,message
PBT_APMBATTERYLOW,Unsupported,Windows 95 or later,Base/hardware,,Pbt.h,,,,,,power management event
PBT_APMOEMEVENT,Unsupported,Windows 95 or later,Base/hardware,,Pbt.h,,,,,,power management event
PBT_APMPOWERSTATUSCHANGE,Windows 2000 or later,Windows 95 or later,Base/hardware,,Pbt.h,,,,,,power management event
PBT_APMQUERYSUSPEND,Windows 2000 or later,Windows 95 or later,Base/hardware,,Pbt.h,,,,,,power management event
PBT_APMQUERYSUSPENDFAILED,Windows 2000 or later,Windows 95 or later,Base/hardware,,Pbt.h,,,,,,power management event
PBT_APMRESUMEAUTOMATIC,Windows 2000 or later,Windows 98 or later,Base/hardware,,Pbt.h,,,,,,power management event
PBT_APMRESUMECRITICAL,Windows 2000 or later,Windows 95 or later,Base/hardware,,Pbt.h,,,,,,power management event
PBT_APMRESUMESUSPEND,Windows 2000 or later,Windows 95 or later,Base/hardware,,Pbt.h,,,,,,power management event
PBT_APMSUSPEND,Windows 2000 or later,Windows 95 or later,Base/hardware,,Pbt.h,,,,,,power management event
_DEV_BROADCAST_USERDEFINED,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,structure
BATTERY_INFORMATION,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,structure
BATTERY_MANUFACTURE_DATE,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,structure
BATTERY_QUERY_INFORMATION,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,structure
BATTERY_REPORTING_SCALE,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,structure
BATTERY_SET_INFORMATION,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,structure
BATTERY_STATUS,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,structure
BATTERY_WAIT_STATUS,Windows 2000 or later,Unsupported,Base/hardware,,Batclass.h,,,,,,structure
CHANGER_ELEMENT,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_ELEMENT_LIST,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_ELEMENT_STATUS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_ELEMENT_STATUS_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_EXCHANGE_MEDIUM,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_INITIALIZE_ELEMENT_STATUS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_MOVE_MEDIUM,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_PRODUCT_DATA,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_READ_ELEMENT_STATUS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_SEND_VOLUME_TAG_INFORMATION,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_SET_ACCESS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CHANGER_SET_POSITION,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CREATE_DISK,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CREATE_DISK_GPT,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CREATE_DISK_MBR,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
CREATE_USN_JOURNAL_DATA,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DELETE_USN_JOURNAL_DATA,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DEV_BROADCAST_DEVICEINTERFACE,Windows 2000 or later,Windows 98 or later,Base/hardware,,Dbt.h,,,,,,structure
DEV_BROADCAST_HANDLE,Windows 2000 or later,Windows 98 or later,Base/hardware,,Dbt.h,,,,,,structure
DEV_BROADCAST_HDR,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,structure
DEV_BROADCAST_OEM,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,structure
DEV_BROADCAST_PORT,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,structure
DEV_BROADCAST_VOLUME,Windows 2000 or later,Windows 95 or later,Base/hardware,,Dbt.h,,,,,,structure
DISK_DETECTION_INFO,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DISK_EX_INT13_INFO,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DISK_EXTENT,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DISK_GEOMETRY,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DISK_GEOMETRY_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DISK_INT13_INFO,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DISK_PARTITION_INFO,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DISK_PERFORMANCE,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DRIVE_LAYOUT_INFORMATION,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
DRIVE_LAYOUT_INFORMATION_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
FILE_ALLOCATED_RANGE_BUFFER,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
FILE_OBJECTID_BUFFER,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
FILE_ZERO_DATA_INFORMATION,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
FORMAT_PARAMETERS,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
GET_CHANGER_PARAMETERS,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
GET_LENGTH_INFORMATION,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
HFS_INFORMATION_BUFFER,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
MARK_HANDLE_INFO,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
MFT_ENUM_DATA,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
MOVE_FILE_DATA,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
PARTITION_INFORMATION,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
PARTITION_INFORMATION_EX,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
PARTITION_INFORMATION_GPT,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
PARTITION_INFORMATION_MBR,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
PLEX_READ_DATA_REQUEST,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
PREVENT_MEDIA_REMOVAL,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
READ_ELEMENT_ADDRESS_INFO,Whistler,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
READ_USN_JOURNAL_DATA,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
REASSIGN_BLOCKS,Windows NT 3.1 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
REPARSE_GUID_DATA_BUFFER,Windows 2000 or later,Unsupported,Base/hardware,,Winnt.h,Windows.h,,,,,structure
RETRIEVAL_POINTERS_BUFFER,Windows 2000 or later,Unsupported,Base/hardware,,Winioctl.h,,,,,,structure
